playerID,playerName,position
18900,Paul Robinson,RB
10039,Curtis Holcomb,DB
5665,Tony DiMidio,T-C
23610,Ryan Wendell,C
12530,Stan Kosel,FB-HB
4801,Win Croft,G
21828,Bobby Taylor,DB
23234,B.J. Ward,DB
18935,Brian Roche,TE
14512,Antoine McClain,G
23404,Eddie Watson,RB
9038,Jermaine Hardy ,DB
2975,Aaron Burbridge,WR
8544,Perry Griggs,WR
13955,Nick Mangold,C
3878,Marqui Christian,SS
8505,Damon Griffin,WR
15895,Michael Morton,RB
7034,Anthony Florence,DB
10405,Johnny Huggins,TE
5783,Ryan Donahue,P
676,Roger Ashmore,T
6793,Mark Fellows,LB
15285,Brandon Miller,DE
7279,Bobby Franklin,DB
23240,Chris Ward,DE
23283,Buss Warren,TB-HB
10935,John Janata,T
10024,Merril Hoge,RB
11311,John Johnson,S
23462,Andre Weathers,DB
10975,Dick Jauron,DB
15673,Devin Moore,RB
3858,Mark Chmura ,TE
6464,Justin Ena,LB
14399,Ron Mayo ,TE
8862,Steven Hamas,FB-WB
25030,Chris Zorich,DT
2742,Thomas Brown,DE-NT
19104,Ken Roskie,FB
10810,Marlin Jackson,DB
346,Neely Allison,E
8796,Dana Hall,DB
177,Frankie Albert ,QB-DB
1954,Brandon Bolden,RB
6975,Ryan Fitzpatrick,QB
212,David Alexander,C-G-T
23995,Brandon Williams,DE
6656,Dick Falcon,G
11586,Gene Jones,LB
20835,Lou Smyth,B
11383,Pepper Johnson,LB
10175,Alvin Hooks,WR
20273,Jack Simmons ,C-G-T
20173,Chuck Shonta,DB
19796,Freddie Scott,WR
2694,Omar Brown,DB
18521,LaRoy Reynolds,LB
24537,John Witkowski,QB
24161,Lawrence Williams,WR
12447,Johnny Knox,WR
4945,Armand Cure,B
11127,Dan Jiggetts,T-G
20729,Onterrio Smith,RB
11673,Nate Jones,WR
15066,Butch Meeker,B
5449,Spiro Dellerba,LB-FB
19032,Butch Rolle,TE
8154,Stacy Gore,P
4832,Irv Cross,DB
18467,Leonard Renfro,DT
15603,Cleo Montgomery,WR
14246,Forrest Masterson,C-G
1659,Davone Bess,WR
12920,Yale Lary ,DB
15233,Paul Migliazzo,LB
9200,Lou Harris,DB
19269,Bo Russell,T
12649,Tyler Kroft,TE
21830,Brian Taylor,DB-RB
6073,Jim Duncan,DB
4429,Ham Connors,E
5556,Wayne DeSutter,T
19724,Lance Schulters,DB
16354,Jonathan Newsome,OLB
10173,Fair Hooker,WR
12537,Ron Kostelnik,DT
4952,William Curran,WR
13542,Jerome Long ,DT
19140,Cliff Rothrock,C
19498,Mickey Sanzotta,B
8530,Homer Griffith,TB
23872,Mike Whittington,LB
13695,Ricky Lumpkin,DT
7307,Chief Franta,T-G
8194,Garry Grady,DB
19799,George Scott,HB
1272,Tra Battle,DB
9159,DuJuan Harris,RB
10117,Clayton Holmes,DB
24264,Tom Williams,DT-DE
19884,Nick Sebek,QB
8488,Clint Gresham,LB
18040,Pid Purdy,BB
3948,Bryan Clark,QB
1140,Dan Barnhart ,TB
17690,Reggie Pleasant,DB
4622,Forrest Cotton,T
2560,Carlos Brown,QB
4408,Dick Conn,DB
10524,Kendall Hunter,RB
3584,M.L. Carter,DB
23123,Ramon Walker,DB
512,George Andrews,LB
7564,Billy Gambrell,SE-FL-WR
14490,A.J. McCarron,QB
526,Plato Andros,G-T-DG
13927,Charley Malone ,E
17108,Ron Parker,CB
16052,Fred Murphy,E
159,Victor Aiyewa,LB
12680,Luke Kuechly,ILB
14722,Craig McEwen,TE-RB
3816,Raphel Cherry,DB
12847,Oxie Lane,T
24241,Shaud Williams,RB
5432,Jack Del Bello,QB
18802,Seth Roberts ,WR
20844,Jason Snelling ,RB
11692,Roger Jones,DB
3239,Dave Cahill,DT-DE
7884,Sloko Gill,C-LB-G
20407,Daryle Skaugstad,NT
18839,Charley Robinson,G-LB
23073,Bracy Walker,DB
23847,James Whitley,DB
7474,Bobby Futrell,DB
2413,Mike Brisiel,G
21477,George Strugar,DT
14262,Jason Mathews,T
18644,Pat Richter,TE-SE-P
18590,Ray Richards,T-G-E
11371,Mike Johnson,G
2774,John Browning,DT-DE
9140,Cary Harris,DB
2662,Kourtnei Brown,DE
15829,George Morris ,HB
19781,Cedric Scott,DE
19470,Bill Sandifer,DT-DE
22008,Bryan Thomas,DE
129,Erik Affholter,WR
12769,Jeff Lageman,DE-LB
3857,Ed Chlebek,QB
4168,Glen Coffee,RB
18106,Casey Rabach,C-G
3102,Tyreek Burwell,T
5357,Gib Dawson,HB
13764,Mitch Lyons,TE
20424,Nick Skorich,G
11008,Shawn Jefferson,WR
3985,Le'Raven Clark,OT
17123,Jeff Parks,TE
16038,Bill Munson,QB
