Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,year
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
423,Brandon Bostick,NYJ,TE,27,16,7,0,0,0,0,0,0,0,,0,11,8,63,7.88,0,0,0,0,,,6,14.3,14.3,10.3,,81,,2016
424,Connor Cook,OAK,QB,23,1,0,14,21,150,1,1,0,0,,0,0,0,0,,0,2,1,0,,,6,6.0,8.0,7.0,,57,,2016
425,Trevor Davis,GNB,WR,23,11,0,0,0,0,0,0,0,0,,0,7,3,24,8.00,1,2,1,1,,,6,9.4,10.4,7.9,,165,,2016
426,Johnny Holton,OAK,WR,26,15,0,0,0,0,0,0,6,43,7.17,0,3,2,34,17.00,0,1,1,0,,,6,7.7,8.7,6.7,,168,,2016
427,Adrian Peterson,MIN,RB,31,3,3,0,0,0,0,0,37,72,1.95,0,6,3,8,2.67,0,1,1,0,,,6,9.0,10.0,7.5,,122,,2016
428,Phillip Supernaw,TEN,TE,26,15,2,0,0,0,0,0,0,0,,0,5,4,62,15.50,0,0,0,0,,,6,10.2,10.2,8.2,,82,,2016
429,De'Anthony Thomas,KAN,WR,23,12,0,0,0,0,0,0,4,29,7.25,0,9,7,35,5.00,0,0,0,0,,,6,13.4,13.4,9.9,,164,,2016
430,D.J. Tialavea,ATL,TE,25,2,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,83,,2016
431,Nick Williams,ATL,WR,26,2,0,0,0,0,0,0,0,0,,0,7,5,59,11.80,0,0,0,0,,,6,10.9,10.9,8.4,,167,,2016
432,Javorius Allen,BAL,RB,25,8,0,0,0,0,0,0,9,34,3.78,0,4,3,15,5.00,0,0,0,0,,,5,7.9,7.9,6.4,,125,,2016
433,Knile Davis,2TM,RB,25,11,0,0,0,0,0,0,18,28,1.56,0,7,5,25,5.00,0,0,0,0,,,5,10.3,10.3,7.8,,123,,2016
434,Tavarres King,NYG,WR,26,7,0,0,0,0,0,0,0,0,,0,4,2,50,25.00,0,0,0,0,,,5,7.0,7.0,6.0,,170,,2016
435,Ifeanyi Momah,ARI,WR,27,5,1,0,0,0,0,0,0,0,,0,4,2,50,25.00,0,0,0,0,,,5,7.0,7.0,6.0,,169,,2016
436,Troymaine Pope,2TM,RB,23,4,0,0,0,0,0,0,12,44,3.67,0,2,1,5,5.00,0,0,0,0,,,5,5.9,5.9,5.4,,124,,2016
437,Tony Romo,DAL,QB,36,1,0,3,4,29,1,0,0,0,,0,0,0,0,,0,0,0,0,,,5,5.2,5.2,5.2,,58,,2016
438,Brandon Wilds,NYJ,RB,23,4,0,0,0,0,0,0,10,27,2.70,0,2,2,20,10.00,0,0,0,0,,,5,6.7,6.7,5.7,,126,,2016
439,Nick Boyle,BAL,TE,23,6,0,0,0,0,0,0,0,0,,0,6,6,44,7.33,0,0,0,0,,,4,10.4,10.4,7.4,,85,,2016
440,Ben Braunecker,CHI,TE,22,13,2,0,0,0,0,0,0,0,,0,6,4,41,10.25,0,0,0,0,,,4,8.1,8.1,6.1,,86,,2016
441,Quan Bray,IND,WR,23,6,0,0,0,0,0,0,1,7,7.00,0,4,3,36,12.00,0,0,0,0,,,4,7.3,7.3,5.8,,171,,2016
442,Jakeem Grant,MIA,WR,24,16,0,0,0,0,0,0,1,1,1.00,0,1,0,0,,0,4,1,1,,,4,4.1,5.1,4.1,,172,,2016
443,Mike James,TAM,RB,25,4,0,0,0,0,0,0,4,19,4.75,0,4,4,22,5.50,0,0,0,0,,,4,8.1,8.1,6.1,,128,,2016
444,Daniel Lasco,NOR,RB,24,7,0,0,0,0,0,0,11,32,2.91,0,4,2,11,5.50,0,0,0,0,,,4,6.3,6.3,5.3,,127,,2016
445,Bradley Marquez,LAR,WR,24,14,0,0,0,0,0,0,1,2,2.00,0,7,3,37,12.33,0,0,0,0,,,4,6.9,6.9,5.4,,173,,2016
446,Justin Perillo,GNB,TE,25,9,1,0,0,0,0,0,0,0,,0,5,4,35,8.75,0,0,0,0,,,4,7.5,7.5,5.5,,88,,2016
447,Brandon Williams,SEA,TE,29,16,1,0,0,0,0,0,0,0,,0,3,2,36,18.00,0,0,0,0,,,4,5.6,5.6,4.6,,87,,2016
448,D.J. Foster,NWE,RB,23,3,0,0,0,0,0,0,7,24,3.43,0,2,1,2,2.00,0,0,0,0,,,3,3.6,3.6,3.1,,132,,2016
449,Don Jackson,GNB,RB,23,3,1,0,0,0,0,0,10,32,3.20,0,1,0,0,,0,0,0,0,,,3,3.2,3.2,3.2,,129,,2016
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,2016
450,Malcolm Johnson,CLE,RB,24,7,1,0,0,0,0,0,1,2,2.00,0,7,5,44,8.80,0,1,1,0,,,3,7.6,8.6,5.1,,133,,2016
451,Sean McGrath,SDG,TE,29,16,5,0,0,0,0,0,0,0,,0,2,2,25,12.50,0,0,0,0,,,3,4.5,4.5,3.5,,91,,2016
